"comment_text","toxic"
"kutte k@ 8@cha","1"
"8hen ke lode","1"
"8ho5d!k!","1"
"9ast!","1"
"k@min3y","1"
"m@d3rch0d","1"
"839h4ir@t","1"
"kutt3 k@ b@cha","1"
"h4r@4m!","1"
"k4miney","1"
"h@r@am!","1"
"t3ri m@4 k1","1"
"9@sht1","1"
"k4m1na","1"
"bh3n ke l0d3","1"
"kutte k! b3t1","1"
"kam33ni","1"
"s@l!","1"
"8ho$@d!k3","1"
"9@$t1","1"
"t@tte","1"
"8h05d4","1"
"gast1","1"
"d4ll4","1"
"d@ll3y","1"
"8ho5d1k!","1"
"dall4","1"
"8eghairat","1"
"chutmar!ke","1"
"t3r! m@@ k1","1"
"bh0sd1ke","1"
"bh3n d! lod1","1"
"h!jr4","1"
"k4m3en!","1"
"50or","1"
"kutt3 ki 8et1","1"
"kutte k1 aul@ad","1"
"$u4r k4 8ach4","1"
"su@r k@ b@ch@","1"
"8ho$d!ke","1"
"h1jr4","1"
"$al4","1"
"bho5d1k1","1"
"83gh41r4t","1"
"8h05diki","1"
"chutmar!k3","1"
"bh0$d!ki","1"
"suar ka b@ch4","1"
"kutt3 ki b3t!","1"
"kutt3 k1 bet!","1"
"kutt3 ka b4ch@","1"
"b3gh4irat","1"
"$ali","1"
"kutt3","1"
"chut!ya","1"
"su@r k4 b4cha","1"
"k@m!n4","1"
"bh05adik3","1"
"h4r@@m1","1"
"ter! m@4 k!","1"
"8h0sd1ke","1"
"ullu k! p4tth1","1"
"bh05dik1","1"
"t3r1 m@4 k1","1"
"kutt3 k! 8eti","1"
"kutt3 k@ bach4","1"
"k4m33n!","1"
"m4d4rch0d","1"
"khusr4","1"
"945t1","1"
"kutt3 k! 4ul4@d","1"
"$u4r k@ 8ach@","1"
"5uar k@ 8@ch@","1"
"kutt3 k@ b@ch4","1"
"kutte k! bet1","1"
"bh0sd4","1"
"t3r! m@@ k!","1"
"kutte ki 83ti","1"
"839h4ir4t","1"
"kh4nze3r","1"
"ullu k1 p4tth1","1"
"k@meen1","1"
"r@ndi","1"
"5uar ka b@ch4","1"
"kutt3 k@ b4cha","1"
"9asht!","1"
"k4nj4r","1"
"$u@r k4 8@ch@","1"
"kutt3 k! b3ti","1"
"bhosd1k3","1"
"kutte k! beti","1"
"8ho5d!ke","1"
"8ho5@d1k3","1"
"la4nt1","1"
"kutiy4","1"
"8hosadik3","1"
"kutte k! 4ul@@d","1"
"l4@nt!","1"
"k@njr1","1"
"g4andu","1"
"g@5t!","1"
"8h0$d1ke","1"
"kutt3 k! bet1","1"
"8h0sda","1"
"har@4mi","1"
"bhen k3 lode","1"
"r@and","1"
"ma4 chuda","1"
"kutt3 ki 8eti","1"
"8h0$@d!k3","1"
"kutt3 k4 bacha","1"
"la4nti","1"
"5uar k@ b@ch4","1"
"chut1ye","1"
"t3r1 m4@ k!","1"
"r4and","1"
"bhosdik!","1"
"$4l!","1"
"t4tte","1"
"8h05d@","1"
"8h3nch0d","1"
"8egh@!r@t","1"
"chutm4r1k3","1"
"khu5r4","1"
"k4m!n3y","1"
"ullu ki patth1","1"
"kutt4 mawt","1"
"kutt!","1"
"kutt3 k1 83ti","1"
"$u4r k@ 84ch@","1"
"ch4kka","1"
"k4m33ni","1"
"8ho$d!k1","1"
"9@sti","1"
"9@$ht1","1"
"5u4r k4 84ch4","1"
"k@me3ni","1"
"8ho5d!k1","1"
"bh0sd1k!","1"
"begh41rat","1"
"r4ndi","1"
"$u4r k@ 8@ch4","1"
"8ho5da","1"
"8h0sd!k3","1"
"8ho54d1ke","1"
"k4mina","1"
"$u4r ka b@cha","1"
"8hosd!ke","1"
"bh0$d1k!","1"
"r@4nd","1"
"rand1","1"
"su@r ka 8@ch4","1"
"945t!","1"
"kutt3 ki 83ti","1"
"kutte k1 83t!","1"
"ma4 chud@","1"
"suar k@ b4cha","1"
"kutte k! 4ul44d","1"
"9a@ndu","1"
"8h05d1ki","1"
"k@m1n@","1"
"8hen d1 lod!","1"
"be9h41r4t","1"
"9a$hti","1"
"ra4nd","1"
"kutte k@ b4ch@","1"
"teri m@4 k1","1"
"kut1ya","1"
"9a5ht!","1"
"$u@r k4 84ch4","1"
"bh3nch0d","1"
"kutt3 k! aul@@d","1"
"d@ll4","1"
"8henchod","1"
"h@raami","1"
"9a5ti","1"
"bhen ke l0de","1"
"kutt3 ki aula4d","1"
"kutte ki @ul4@d","1"
"54l@","1"
"kutt3 k1 aul@4d","1"
"bho$d@","1"
"b3gh41r@t","1"
"lod3","1"
"suar k4 8@ch@","1"
"bh4dw4","1"
"sal1","1"
"$@la","1"
"bho5@d1k3","1"
"kh@nz33r","1"
"begh41r@t","1"
"m@4 chud4","1"
"l4n4t","1"
"kutt3 k! bet!","1"
"8h0$d4","1"
"chutm@r1ke","1"
"kutt3 k! aul44d","1"
"8h0$d!ki","1"
"bhen k3 lod3","1"
"$u4r ka b@ch4","1"
"t3r1 m@@ ki","1"
"$u@r k@ 84ch@","1"
"bh4rw@","1"
"8h3n ke lode","1"
"bho5dike","1"
"d4lley","1"
"8ho$d1k1","1"
"8h0$@d!ke","1"
"bhen d! l0d1","1"
"t3ri m@4 ki","1"
"kutt3 ki 8et!","1"
"8h0$d!k1","1"
"m4d@rch0d","1"
"bhosdik3","1"
"8hadw@","1"
"8h05d1k3","1"
"k4m1n3y","1"
"kutte ka bach4","1"
"kutte ki aul@4d","1"
"k@mina","1"
"8h0s@d1k3","1"
"kutte k! @ul4@d","1"
"8h05@d1k3","1"
"kutt3 k1 aul@@d","1"
"la4nt!","1"
"k@njar","1"
"bh3n d1 lod1","1"
"kutt3 k4 8@cha","1"
"8h3n k3 lod3","1"
"8h05dik1","1"
"r4nd!","1"
"g4shti","1"
"bho$4d1ke","1"
"kam1na","1"
"bho5diki","1"
"$uar ka 8@ch4","1"
"5u4r k4 b4ch4","1"
"suar k4 8@cha","1"
"kutte ka 8@cha","1"
"suar ka 8@ch4","1"
"kutt3 k! @ulaad","1"
"$o0r","1"
"83gh4!r4t","1"
"bh0s@d1ke","1"
"8h0sd!ki","1"
"kutt3 ki 83t1","1"
"bh054d!k3","1"
"k@m!ney","1"
"h@r@@m!","1"
"t3ri maa ki","1"
"kh4nz3er","1"
"k4nj@r","1"
"t3r1 ma@ k1","1"
"$u@r k@ bach4","1"
"8ho5dik!","1"
"8h05@d1ke","1"
"bh@rwa","1"
"$uar k4 8@ch4","1"
"5u4r ka 8@ch4","1"
"945hti","1"
"kutt3 k! 83t!","1"
"h!jr@","1"
"kutt1","1"
"5uar k@ b@cha","1"
"8h3n k3 lode","1"
"bh0s@d1k3","1"
"t3r1 m4a k!","1"
"kut!y4","1"
"k@min@","1"
"suar k@ 8@cha","1"
"b39h@ir4t","1"
"bho$d4","1"
"dall3y","1"
"ullu k@ p@tha","1"
"$4li","1"
"kutt3 k4 8ach4","1"
"kutte k4 b4ch@","1"
"8ho$d4","1"
"5oor","1"
"bh3n di l0d!","1"
"h!jra","1"
"teri m@a k!","1"
"chutm4r!k3","1"
"kutt3 k1 aulaad","1"
"ullu k4 p@th@","1"
"kut!ya","1"
"83gh@ir4t","1"
"m@derch0d","1"
"bh0$da","1"
"94sht1","1"
"h4ra@m1","1"
"ullu k1 patth1","1"
"kam!n4","1"
"8ho5@d1ke","1"
"t3ri m4a k1","1"
"kamin4","1"
"8h3n di lodi","1"
"8h05d1k1","1"
"r4nd1","1"
"kutte ki bet!","1"
"kutte ka 8ach4","1"
"bh0$d!ke","1"
"m@d4rchod","1"
"kutt3 k! aul4@d","1"
"5u4r k4 b@ch4","1"
"8h3n d! lod1","1"
"ch4kk4","1"
"t3ri m@a ki","1"
"chutmar1k3","1"
"$4l4","1"
"bho$@dik3","1"
"$uar k@ 8@ch@","1"
"har@@m!","1"
"kutt3 k! b3t1","1"
"bh4rwa","1"
"9asht1","1"
"kutte ki 8et1","1"
"su@r k@ b@cha","1"
"kutt3 k@ b4ch@","1"
"bhosd!ke","1"
"kutte k1 b3t!","1"
"bh0$d4","1"
"8hos@dik3","1"
"g45hti","1"
"sal4","1"
"8hen d! lod!","1"
"8ho$ad!ke","1"
"su4r k4 8@ch4","1"
"8e9hairat","1"
"bh3n k3 l0d3","1"
"8egha1rat","1"
"kutte k! 83ti","1"
"8egh4!r@t","1"
"kutt3 k! @ul4@d","1"
"d@lley","1"
"945ti","1"
"b3gh@ir4t","1"
"m4d@rchod","1"
"be9h@1r4t","1"
"bh4rw4","1"
"8h05d!ki","1"
"kutt3 k4 84ch@","1"
"bh@dw@","1"
"kutte k1 8et1","1"
"k@nj@r","1"
"r4@nd","1"
"8ho$4dike","1"
"ullu k1 p4tthi","1"
"chutmarik3","1"
"g4sht!","1"
"54l!","1"
"8h3n d! lod!","1"
"chut1y3","1"
"bh0s@d!k3","1"
"8hen d! lodi","1"
"ullu k@ p@th@","1"
"$oor","1"
"t3r1 m4a ki","1"
"g@$t!","1"
"bh0$4d!ke","1"
"kutt3 ka b@cha","1"
"5u4r ka 8@cha","1"
"bh0sdik3","1"
"bho5d1k!","1"
"k@m3eni","1"
"bh0$@dik3","1"
"su4r ka 8@ch4","1"
"bho$@d1ke","1"
"kutte k4 bacha","1"
"chutm@rik3","1"
"$uar k@ 84ch@","1"
"ullu k1 patth!","1"
"bharw@","1"
"$@l!","1"
"h@ra@m!","1"
"ullu k@ p4th4","1"
"k4me3n!","1"
"sal!","1"
"9@$ti","1"
"t@tt3","1"
"8h05@d!k3","1"
"m44 chud@","1"
"t3r1 m4@ k1","1"
"5u4r ka b@ch@","1"
"g4st1","1"
"g4$t1","1"
"k@nj4r","1"
"h@r@@mi","1"
"b39h@!r4t","1"
"g@5ht!","1"
"kutte k! 83t!","1"
"8hosdiki","1"
"$u@r k@ 8ach@","1"
"8h3n ke l0de","1"
"bh@rw4","1"
"bhen ke l0d3","1"
"kutt@","1"
"8h0$dike","1"
"chutm@rr4","1"
"kutt3 k1 4ul4@d","1"
"kutte k1 4ulaad","1"
"kutt3 ki 4ul@ad","1"
"5u@r k@ b@ch4","1"
"bho$@d!k3","1"
"k4meeni","1"
"kamin3y","1"
"kutt3 k1 aul4@d","1"
"bhen di lod1","1"
"8h4dwa","1"
"$u@r k@ 8@ch4","1"
"h4r4am!","1"
"t3r! m4a k1","1"
"8h0sd!k1","1"
"t3r! m44 ki","1"
"m4a chud4","1"
"chut!y@","1"
"ullu k@ p@th4","1"
"bho$d!ki","1"
"khanze3r","1"
"kutte k1 8eti","1"
"8e9h@1r@t","1"
"8h054dike","1"
"5u4r k@ 84ch4","1"
"g@st!","1"
"kutt3 ka 8acha","1"
"8ho$da","1"
"kutte k! 4ulaad","1"
"kutt3 k! 8et1","1"
"5al!","1"
"ullu k@ path@","1"
"ga5hti","1"
"k4meen1","1"
"kutte k1 bet1","1"
"8h0$d1k!","1"
"bhos4d!k3","1"
"h4ra@m!","1"
"gasht1","1"
"kutte k! 4ul4ad","1"
"bhen d1 lod1","1"
"8hen ke l0de","1"
"t3r! m44 k1","1"
"8h0$d!ke","1"
"839ha1rat","1"
"bh05d1k!","1"
"bh0$@d1k3","1"
"kutte ki b3t!","1"
"ter! m4@ k!","1"
"kutte ka b4cha","1"
"kutt3 k4 8@ch4","1"
"t3r! ma@ ki","1"
"8h4rwa","1"
"bhen k3 l0de","1"
"8ho$ad!k3","1"
"h4ra4m!","1"
"g@andu","1"
"kh@nz3er","1"
"kh4nz33r","1"
"$u4r ka 8@cha","1"
"8ho$d!ki","1"
"h@ra@mi","1"
"bh0sd1k3","1"
"kutt3 k1 b3t1","1"
"5u@r k@ b@cha","1"
"bhen d1 lodi","1"
"$@l1","1"
"8h3n d1 lod!","1"
"8e9h4!r4t","1"
"h@r@4m!","1"
"su@r k4 b@ch4","1"
"ga$ht!","1"
"kutte k@ bacha","1"
"bh0$@dike","1"
"t3r! ma@ k!","1"
"ga@ndu","1"
"beghair@t","1"
"su4r k@ 8ach4","1"
"khu$r4","1"
"bh3n k3 lod3","1"
"ullu k4 p@tha","1"
"kutte k1 8et!","1"
"kutte k@ b@ch4","1"
"8e9h4!r@t","1"
"ullu k4 path@","1"
"bhen di l0di","1"
"5u@r ka 8@cha","1"
"ullu k! p4tth!","1"
"8ho$dike","1"
"bho$d!k!","1"
"$u@r k4 84cha","1"
"l4ude","1"
"$uar ka b4ch4","1"
"maa chud4","1"
"kutt3 ki @ula@d","1"
"bho$da","1"
"8ho$d@","1"
"har@4m!","1"
"bh05@d1ke","1"
"kam1n@","1"
"g4$ht1","1"
"bhos@d1k3","1"
"kutt@ m4wt","1"
"kam1n3y","1"
"kutt3 ki bet1","1"
"94andu","1"
"bho5d4","1"
"$uar k@ 8@ch4","1"
"m@@ chuda","1"
"ullu k@ path4","1"
"$u4r k@ 84ch4","1"
"bho$@d1k3","1"
"l4ant!","1"
"8h3n ke l0d3","1"
"k4m1ney","1"
"t3ri m44 k1","1"
"d4ll3y","1"
"l44nt!","1"
"khu$r@","1"
"kutt3 k1 8eti","1"
"m@a chud4","1"
"ullu ki p@tth!","1"
"9@st1","1"
"9@$t!","1"
"k@njri","1"
"8h0$d1k1","1"
"m@a chuda","1"
"bh05@d1k3","1"
"kutt3 k! @ul44d","1"
"hara4m!","1"
"b3gha1r4t","1"
"ch00t","1"
"kutt3 k! b3t!","1"
"bho$d!ke","1"
"bh3n d1 lod!","1"
"g45ti","1"
"k4min3y","1"
"s4l1","1"
"h4r@ami","1"
"8h0sd4","1"
"h@r@4mi","1"
"bho$@d!ke","1"
"5ala","1"
"94st1","1"
"8h05d!k3","1"
"kutt3 k! 4ul44d","1"
"$uar k@ bach4","1"
"8ho54dik3","1"
"kutt3 ka bach4","1"
"$ala","1"
"khu$ra","1"
"8ho$@d1ke","1"
"ga5ht!","1"
"bho$dik!","1"
"kutt3 ki beti","1"
"kutte ki aul@@d","1"
"kutte ka 84ch4","1"
"t3ri ma@ k1","1"
"r44nd","1"
"har4am!","1"
"s@l1","1"
"5al1","1"
"l44nti","1"
"chakk@","1"
"9@@ndu","1"
"bh05dik3","1"
"g45t1","1"
"94shti","1"
"k@meeni","1"
"bho$d!k3","1"
"bhos4d1ke","1"
"8ho$d1ki","1"
"hijr4","1"
"ra@nd","1"
"k@m!n3y","1"
"ullu k! p@tth1","1"
"kutte ki 8et!","1"
"rand!","1"
"bhen ke lod3","1"
"5u4r ka 84ch4","1"
"ter! ma4 k1","1"
"ullu k@ patha","1"
"kutte k@ 8acha","1"
"begh41r4t","1"
"5uar k4 8@ch4","1"
"t3r1 m@a k1","1"
"ullu k1 p4tth!","1"
"9a$ht!","1"
"begh@1rat","1"
"kutt3 ka 84ch@","1"
"8h4rw4","1"
"bhen d! lodi","1"
"kutt3 k! aul4ad","1"
"kutt3 ka b4cha","1"
"bho5ad1ke","1"
"kutte k1 b3ti","1"
"t3ri m4@ k!","1"
"k4me3n1","1"
"kutte k1 aul@@d","1"
"$4la","1"
"bhen k3 l0d3","1"
"d@lla","1"
"ter! m@4 k1","1"
"chutm@rr@","1"
"kutt3 k! @ul@@d","1"
"bhosdik1","1"
"bhosd!k3","1"
"m@@ chud4","1"
"kutt3 k! @ul4ad","1"
"bhen d! l0d!","1"
"8h05d!k1","1"
"chutm4rr@","1"
"kutt3 k! 8et!","1"
"g4@ndu","1"
"s@la","1"
"b3gh4ir4t","1"
"bh3n ke l0de","1"
"su4r ka 84ch4","1"
"$4l@","1"
"chakk4","1"
"dumbas5","1"
"d1kkh3ad","1"
"d1pshi7","1"
"4s$hole","1"
"d1ckhead","1"
"j@kkas$","1"
"fucker","1"
"m0th3rfuck","1"
"d1ck","1"
"b4s7ard","1"
"pr1ck","1"
"moth3rfvkk","1"
"m07h3rfvck","1"
"dikkhead","1"
"wank3r","1"
"b!tkha$5","1"
"d0vch3","1"
"j4ck@5s","1"
"pv5sy","1"
"sh!t7y","1"
"sh!t","1"
"kokk$uck3r","1"
"m07h3rfvkker","1"
"m07h3rfukker","1"
"bvll$h!7","1"
"$h!t","1"
"$hi77y","1"
"mo7h3rfvck3r","1"
"bvllsh17","1"
"bitch@$$","1"
"cokksuck3r","1"
"dip5hi7","1"
"prikk","1"
"dickh3ad","1"
"mo7h3rfvck","1"
"b1tch4$s","1"
"bitkh@55","1"
"motherfuck","1"
"bull5h1t","1"
"dipsh1t","1"
"mo7herfukk","1"
"f4gg0t","1"
"cock$uck3r","1"
"jack4ss","1"
"sh!77y","1"
"d0ukh3","1"
"m07herfvcker","1"
"m07herfuck","1"
"bull$h!7","1"
"sh1t7y","1"
"re7ard","1"
"a55hol3","1"
"b457ard","1"
"r3t@rd","1"
"fuckf4c3","1"
"$h!7","1"
"b1tch","1"
"moth3rfvkk3r","1"
"m0therfuck","1"
"m0therfukk3r","1"
"a5shol3","1"
"@s$hole","1"
"dvmbas5","1"
"cocksvck3r","1"
"kokk$ukker","1"
"mo7h3rfuck3r","1"
"m07h3rfukk","1"
"f@ggot","1"
